Waktu,ausmi
8/1/1987,-0.291
9/1/1987,-0.288
10/1/1987,0.3
11/1/1987,0.357
12/1/1987,0.443
1/1/1988,-2.067
2/1/1988,-1.135
3/1/1988,0.286
4/1/1988,0.105
5/1/1988,1.045
6/1/1988,-1.619
7/1/1988,-1.472
8/1/1988,-0.907
9/1/1988,-0.775
10/1/1988,-0.169
11/1/1988,1.63
12/1/1988,1.622
1/1/1989,-1.382
2/1/1989,-0.761
3/1/1989,0.798
4/1/1989,1.368
5/1/1989,1.131
6/1/1989,1.912
7/1/1989,1.149
8/1/1989,-0.092
9/1/1989,-1.004
10/1/1989,0.885
11/1/1989,0.953
12/1/1989,-0.92
1/1/1990,0.602
2/1/1990,-1.68
3/1/1990,0.963
4/1/1990,0.041
5/1/1990,0.572
6/1/1990,0.487
7/1/1990,0.829
8/1/1990,0.623
9/1/1990,-1.437
10/1/1990,-0.841
11/1/1990,-0.391
12/1/1990,-0.102
1/1/1991,1.185
2/1/1991,1.469
3/1/1991,-1.371
4/1/1991,0.534
5/1/1991,-1.603
6/1/1991,0.042
7/1/1991,0.972
8/1/1991,-0.613
9/1/1991,0.229
10/1/1991,-1.416
11/1/1991,0.279
12/1/1991,-0.718
1/1/1992,-1.461
2/1/1992,-0.131
3/1/1992,-0.697
4/1/1992,-0.101
5/1/1992,0.674
6/1/1992,0.236
7/1/1992,-1.76
8/1/1992,1.422
9/1/1992,1.929
10/1/1992,-0.569
11/1/1992,-0.159
12/1/1992,0.319
1/1/1993,0.091
2/1/1993,0.961
3/1/1993,-1.358
4/1/1993,-1.133
5/1/1993,-0.912
6/1/1993,-1.251
7/1/1993,0.814
8/1/1993,0.081
9/1/1993,-0.103
10/1/1993,-0.166
11/1/1993,-1.127
12/1/1993,-0.076
1/1/1994,-1.033
2/1/1994,0.005
3/1/1994,-0.71
4/1/1994,-1.485
5/1/1994,-1.258
6/1/1994,0.146
7/1/1994,-0.288
8/1/1994,-1.713
9/1/1994,-1.01
10/1/1994,-0.744
11/1/1994,-1.237
12/1/1994,-0.713
1/1/1995,-0.022
2/1/1995,0.009
3/1/1995,0.325
4/1/1995,0.815
5/1/1995,0.032
6/1/1995,-0.535
7/1/1995,-1.657
8/1/1995,-1.895
9/1/1995,0.51
10/1/1995,-0.226
11/1/1995,-0.093
12/1/1995,1.282
1/1/1996,-0.55
2/1/1996,-0.608
3/1/1996,-0.097
4/1/1996,0.15
5/1/1996,-0.597
6/1/1996,-0.33
7/1/1996,0.576
8/1/1996,1.102
9/1/1996,1.948
10/1/1996,-0.156
11/1/1996,-0.519
12/1/1996,1.278
1/1/1997,0.858
2/1/1997,0.882
3/1/1997,-0.08
4/1/1997,-1.446
5/1/1997,2.083
6/1/1997,-0.826
7/1/1997,-0.112
8/1/1997,1.1
9/1/1997,-0.626
10/1/1997,-0.728
11/1/1997,-0.912
12/1/1997,-0.386
1/1/1998,-0.01
2/1/1998,-1.653
3/1/1998,-0.715
4/1/1998,-0.193
5/1/1998,-0.136
6/1/1998,0.937
7/1/1998,1.219
8/1/1998,-0.571
9/1/1998,-0.151
10/1/1998,0.772
11/1/1998,1.542
12/1/1998,1.166
1/1/1999,0.019
2/1/1999,1.141
3/1/1999,0.007
4/1/1999,1.067
5/1/1999,-0.241
6/1/1999,-0.307
7/1/1999,0.352
8/1/1999,-0.465
9/1/1999,-0.937
10/1/1999,-0.23
11/1/1999,0.978
12/1/1999,0.639
1/1/2000,0.23
2/1/2000,0.402
3/1/2000,1.366
4/1/2000,1.639
5/1/2000,-0.321
6/1/2000,-0.603
7/1/2000,-0.675
8/1/2000,0.352
9/1/2000,-1.236
10/1/2000,1.22
11/1/2000,1.817
12/1/2000,1.53
1/1/2001,-0.816
2/1/2001,1.304
